sku,name_en,name_zh,description_en,description_zh,price,categories,image_files,primary_image,active
MP-005,Mini Pouch MTR Station,香港地鐵主題散子包,"Nostalgic Hong Kong print mini pouch, perfect for storing coins, earbuds, lip balm, keys, cards, hair clips, medication, and other everyday essentials.",懷舊香港印花迷你收納袋，適合存放零錢、耳機、潤唇膏、鑰匙、卡片、髮夾、藥物及其他日常小物。,24,mini-pouch,"mini-pouch-mtr-station.jpg, mini-pouch-mtr-station-detail.jpg",mini-pouch-mtr-station.jpg,yes
MP-006,Mini Pouch Red White Blue Bag R,紅色紅白藍散子包,"Nostalgic Hong Kong print mini pouch, perfect for storing coins, earbuds, lip balm, keys, cards, hair clips, medication, and other everyday essentials.",懷舊香港印花迷你收納袋，適合存放零錢、耳機、潤唇膏、鑰匙、卡片、髮夾、藥物及其他日常小物。,24,mini-pouch,mini-pouch-red-white-blue-bag-r.jpg,mini-pouch-red-white-blue-bag-r.jpg,yes
MP-007,Mini Pouch Red White Blue Bag B,藍色紅白藍散子包,"Nostalgic Hong Kong print mini pouch, perfect for storing coins, earbuds, lip balm, keys, cards, hair clips, medication, and other everyday essentials.",懷舊香港印花迷你收納袋，適合存放零錢、耳機、潤唇膏、鑰匙、卡片、髮夾、藥物及其他日常小物。,24,mini-pouch,mini-pouch-red-white-blue-bag-b.jpg,mini-pouch-red-white-blue-bag-b.jpg,yes
MP-008,Mini Pouch Red White Blue Bag S,直間紅白藍散子包,"Nostalgic Hong Kong print mini pouch, perfect for storing coins, earbuds, lip balm, keys, cards, hair clips, medication, and other everyday essentials.",懷舊香港印花迷你收納袋，適合存放零錢、耳機、潤唇膏、鑰匙、卡片、髮夾、藥物及其他日常小物。,24,mini-pouch,mini-pouch-red-white-blue-bag-s.jpg,mini-pouch-red-white-blue-bag-s.jpg,yes
MP-009,Mini Pouch Cha Chaan Teng,茶餐廳主題散子包,"Nostalgic Hong Kong print mini pouch, perfect for storing coins, earbuds, lip balm, keys, cards, hair clips, medication, and other everyday essentials.",懷舊香港印花迷你收納袋，適合存放零錢、耳機、潤唇膏、鑰匙、卡片、髮夾、藥物及其他日常小物。,24,mini-pouch,"mini-pouch-cha-chaan-teng-front.jpg,mini-pouch-cha-chaan-teng-back.jpg",mini-pouch-cha-chaan-teng-front.jpg,yes
MP-010,Mini Pouch Street name sign,香港招牌主題散子包,"Nostalgic Hong Kong print mini pouch, perfect for storing coins, earbuds, lip balm, keys, cards, hair clips, medication, and other everyday essentials.",懷舊香港印花迷你收納袋，適合存放零錢、耳機、潤唇膏、鑰匙、卡片、髮夾、藥物及其他日常小物。,24,mini-pouch,"mini-pouch-street-name-sign-front.jpg, mini-pouch-street-name-sign-back.jpg",mini-pouch-street-name-sign-front.jpg,yes
MP-011,Mini Pouch Old Hong Kong,舊香港主題散子包,"Nostalgic Hong Kong print mini pouch, perfect for storing coins, earbuds, lip balm, keys, cards, hair clips, medication, and other everyday essentials.",懷舊香港印花迷你收納袋，適合存放零錢、耳機、潤唇膏、鑰匙、卡片、髮夾、藥物及其他日常小物。,24,mini-pouch,"mini-pouch-old-hong-kong-front.jpg, mini-pouch-old-hong-kong-back.jpg",mini-pouch-old-hong-kong-front.jpg,yes
MP-012,Mini Pouch Canada,加拿大主題散子包,"Celebrate Canada every day with this charming mini pouch, perfect for storing coins, earbuds, lip balm, keys, cards, hair clips, medication, and other everyday essentials.",充滿加拿大特色的迷你收納袋，適合存放零錢、耳機、潤唇膏、鑰匙、卡片、髮夾、藥物及其他日常小物。,24,mini-pouch,"mini-pouch-canada.jpg, mini-pouch-canada-detail.jpg",mini-pouch-canada.jpg,yes
MB-013,Makeup Bag Cherry Bliss,紅白色車厘子化妝包,"Adorable cherry print makeup bag, a compact cosmetic pouch ideal for travel and daily organization. Lightweight and durable with a secure zip closure.",可愛車厘子圖案化妝包，適合旅行與日常整理。,35,makeup-bags,"cherry-bliss-front.jpg, cherry-bliss-back.jpg, cherry-bliss-detail.jpg",cherry-bliss-front.jpg,yes
MB-014,Makeup Bag Autumn Meadow,燈芯絨啡色碎花化妝包,"Adorable floral print makeup bag, a compact cosmetic pouch ideal for travel and daily organization. Lightweight and durable with a secure zip closure.",可愛燈芯絨碎花圖案化妝包，適合旅行與日常整理。,35,makeup-bags,"autumn-meadow-front.jpg, autumn-meadow-back.jpg, autumn-meadow-detail.jpg",autumn-meadow-front.jpg,yes
MB-015,Makeup Bag Cream Meadow,燈芯絨白色碎花化妝包,"Adorable floral print makeup bag, a compact cosmetic pouch ideal for travel and daily organization. Lightweight and durable with a secure zip closure.",可愛燈芯絨碎花圖案化妝包，適合旅行與日常整理。,35,makeup-bags,"cream-meadow-front.jpg, cream-meadow-back.jpg, cream-meadow-detail.jpg",cream-meadow-front.jpg,yes
